"English" {
  "NO_FUNCTIONAL_BODY_PART" "No functional body part: {1}"
  "X_TO_VILLAGE_ACTION" " to {1}"
  "ITEM_BURNS_OUT" "{1} burns out."
  "ITEM_CATCHES_FIRE" "{1} catches fire."
  "ITEM_DISAPPEARS" "{1} disappears!"
  "ITEM_NAMED" "named {1}"
  "ITEM_NAME_WITH_SUFFIXES" "{1} {2}"
  "ITEM_PREFIX" "{2} {1}"
  "ITEM_PRICE" "({1} gold)"
  "ITEM_SUFFIX" "{1} {2}"
  "ITEM_SUFFIXES" "{1}"
  "USES_LEFT" "{1} ({2} uses left)"
  "ITEM_ATTR_IMPROVED_BY" "Item attributes are improved by {1}"
  "BALSAM_OF" "balsam of {1}"
  "BALSAMS_OF" "balsams of {1}"
  "BODY_PART_OF" "{1} {2}"
  "BOOK_OF" "book of {1}"
  "BOOKS_OF" "books of {1}"
  "GLYPHS" "glyphs {1}"
  "MUSHROOM_OF" "mushroom of {1}"
  "MUSHROOMS_OF" "mushrooms of {1}"
  "POTION_OF" "{1}potion of {2}"
  "POTIONS_OF" "{1}potions of {2}"
  "BREAKS_FREE_FROM" "{1} breaks free from {2}."
  "CAN_SEE_YOU_HIDING" "{1} can see you hiding."
  "CUTS_TENTACLE" "{1} cuts the kraken's tentacle."
  "YOU_BECOME" "You become {1}."
  "YOU_BURN_IN" "You burn in the {1}."
  "YOU_DROWN_IN" "You drown in the {1}."
  "ADDS_TRAINING_LEVELS" "Adds up to {1} {2} levels."
  "BUILDING_REQUIRES" "Requires {1}."
  "BUILDINGS_COUNT_AVAILABLE" "({1} available)"
  "CHALLENGES_YOU_TO_A_DUEL" "{1} challenges you to a duel. Do you accept?"
  "COMBINE_SENTENCES" "{1} {2}"
  "COST_DOUBLES_FOR_EVERY" "Cost doubles for every {1} {2}."
  "FIRST_X_ARE_FREE" "First {1} {2} are free."
  "INCREASES_LUXURY_BY" "Increases luxury by {1}."
  "INCREASES_POP_LIMIT_BY" "Increases {1} limit by {2}."
  "INCREASES_POP_LIMIT_BY_UP_TO" "Increases {1} limit by {2}, up to {3}."
  "IS_ENGAGED_IN_A_FIGHT_WITH" "{1} is engaged in a fight with {2}."
  "ITEM_INFO_NAME_COMPANION_STEED" "{1} (companion)"
  "ITEM_WONT_BE_ASSIGNED_BECAUSE_SLOT_LOCKED" "{1} won't be permanently assigned because the slot is locked."
  "JOINS_YOUR_TEAM" "{1} joins your team."
  "LEGENDARY_CRAFTSMAN_AT" "Legendary craftsman at {1}."
  "MISSING_TECHNOLOGY" "Requires technology: {1}"
  "MULTIPLE_ITEMS" "{1} {2}"
  "PERMANENT_TRAIT" "Permanent trait: {1}"
  "TEMPORARY_TRAIT" "Temporary trait: {1} ({2} turns)"
  "TOME_ACQUIRED" "You have acquired the knowledge of {1}."
  "TOME_ALREADY_KNOWN" "You already possess the knowledge of {1}."
  "TOME_CANT_BE_USED" "You do not comprehend the knowledge of {1}."
  "CANT_TRAVEL_WHILE_BEING_ATTACKED_BY" "You can't travel while being attacked by {1}."
  "DROP_HOW_MANY" "Drop how many {1}?"
  "WALKING_INTO_X_WARNING" "Walk into the {1}?"
  "EAT_AT_TASK" "Eat at {1}"
  "FOLLOW_TASK" "Follow {1}"
  "WHIPPING_TASK" "Whipping {1}"
  "STOMACH" "stomach"
  "CANT_MOVE" "{1} can't move!"
  "YOU_CANT_MOVE" "You can't move!"
  "GROUP" "group"
  "HUMANOIDS" "humanoids"
  "FIRE_EFFECT_DESCRIPTION" "Burns!"
  "FIRE_EFFECT_NAME" "fire"
  "HE" "he"
  "HER" "her"
  "IT" "it"
  "ITS" "its"
  "SHE" "she"
  "FAST_GAME_SPEED" "fast"
  "RANGED_WEAPON" "ranged weapon"
  "RANGED_WEAPONS" "ranged weapons"
  "BALSAM" "balsam"
  "CONSUMABLES" "consumables"
  "CORPSE" "corpse"
  "FIRE" "fire"
  "GLYPH" "glyph {1}"
  "GLYPH_BLIND" "glyph"
  "LEGS" "legs"
  "POEM" "poem"
  "POEM_WITH_TYPE" "{1} {2}"
  "SCROLL" "scroll"
  "SKELETON" "skeleton"
  "SKULL" "skull"
  "SPELL" "spell"
  "BLIND" "blind"
  "PLAGUE" "plague"
  "STOPS_BURNING" "{1} stops burning."
  "FEELS_THE_PRESENCE_OF_A_MAGICAL_FIELD" "{1} feels the presence of a magical field."
  "YOU_FEEL_THE_PRESENCE_OF_A_MAGICAL_FIELD" "You feel the presence of a magical field."
  "RENAME_MINION" "Rename minion"
  "RECEIVE" "You receive {1}."
  "RECEIVES" "{1} receives {2}."
  "IS_KILLED" "{1} is {3} by {2}."
  "MORE_ADJECTIVE" "more {1}"
  "NOT" "not {1}"
  "PERMANENT_LASTING_DESCRIPTION" "{1} permanently."
  "PERMANENT_LASTING_NAME" "permanent {1}"
  "ACTIVITY_ON_OFF_HINT_FOR_GROUP" "Click to turn this activity off for all {1}."
  "COUNT_ITEM_AVAILABLE" "({1} items available)"
  "DISABLE_FOR_ALL_GROUP" "Disable for all {1}."
  "DUNGEON_REQUIRED_MODS" "Requires mods: {1}"
  "EXPERIENCE_TYPE" "Experience type: {1}"
  "QUARTERS_LUXURY" "Total luxury: {1}"
  "SETTING_WILL_APPLY_TO_ALL" "Setting will apply to all {1}."
  "SPELL_LEVEL" "Level {1}"
  "TRAINING_LIMIT_TOOLTIP" "The creature's limit for this type of training is {1}."
  "TRAINING_TYPE_TOOLTIP" "{1} training."
  "UNLOCKS_ITEM_TYPE" "Unlocks {1}:"
  "UPGRADABLE_WITH_UP_TO" "Upgradable with up to {1} {2}."
  "WORK_EFFICIENCY_MULTIPLIER_HINT" "Work efficiency multiplier: {1}"
  "WORLD_MAP_OF" "Map of {1}"
  "FALLS_ASLEEP" "{1} falls asleep."
  "IS" "{1} is {2}."
  "ITEM_HITS" "{2} hits {1}."
  "ITEM_MISSES" "{2} misses {1}."
  "ITEMS_CRASH" "{2} crash on {1}."
  "ITEMS_HIT" "{2} hit {1}."
  "ITEMS_MISS" "{2} miss {1}."
  "YOU_DIE" "You die!"
  "YOU_DIE_OF" "You die of."
  "YOUR" "Your {1}."
  "REQUIRES_A" "Requires a {1}"
  "CANT_TRAVEL_WHILE_POISONED" "{1} can't travel while being poisoned."
  "OR" "{1} or {2}"
  "KILL_TITLE" "{1} slayer"
  "MINION_GROUP" "{1}   {2}"
  "YOU_HAVE_CONQUERED_THIS_LAND" "You have conquered this land. You killed {1} enemies and scored {2} points. Thank you for playing KeeperRL!"
  "DEATHS" "{1} deaths"
  "COLD_BLOODED_MURDERS" "{1} cold-blooded murders"
  "CHOPPED_HEADS" "{1} chopped heads"
  "CHOPPED_LIMBS" "{1} chopped limbs"
  "SPELLS_CAST" "{1} spells cast"
  "SCROLLS_READ" "{1} scrolls read"
  "WEAPONS_PRODUCED" "{1} weapons produced"
  "PIECES_OF_ARMOR_PRODUCED" "{1} pieces of armor produced"
  "POTIONS_PRODUCED" "{1} potions produced"
  "ACHIEVED_WORLD_DOMINATION" "achieved world domination"
  "YOU_HAVE_SURVIVED" "You have survived in this land for {1} turns. You killed {2} enemies."
  "TURNS_DEFENDING_THE_BASE" "{1} turns defending the base."
  "TURNS_SPENT_ATTACKING" "{1} turns spent adventuring and attacking."
  "THANK_YOU_FOR_PLAYING" "Thank you for playing KeeperRL!"
  "RETIRED_GAME_RESULT" "retired"
  "YOU_KILLED_AND_SCORED" "You killed {1} enemies and scored {3} points."
  "OF" "{1} of {2}"
  "ITEM_BURNS" "{1} burns in the {2}."
  "ITEMS_BURN" "{1} burn in the {2}."
  "ITEM_SINKS" "{1} sinks in the {2}."
  "ITEMS_SINK" "{1} sink in the {2}."
  "NO_LONGER_SUPER" "no longer super"
  "SUPER" "super"
  "YOU_START" "You start {1}."
  "STARTS" "{1} starts {2}."
  "BLEEDING" "bleeding"
  "MORE_MASCULINE" "more masculine"
  "MORE_FEMININE" "more feminine"
  "MORE_NEUTER" "more neuter"
  "PRISONER_FROM_NAME" "{1} (prisoner)"
  "ALCHEMY_TECH_NAME" "alchemy"
  "INCENDIARY_ALCHEMY_TECH_NAME" "incendiary alchemy"
  "ADVANCED_ALCHEMY_TECH_NAME" "advanced alchemy"
  "EMBALMING_TECH_NAME" "embalming"
  "ADVANCED_EMBALMING_TECH_NAME" "advanced embalming"
  "MASTER_EMBALMING_TECH_NAME" "master embalming"
  "NECROMANCY_TECH_NAME" "necromancy"
  "ADVANCED_NECROMANCY_TECH_NAME" "advanced necromancy"
  "MASTER_NECROMANCY_TECH_NAME" "master necromancy"
  "ALCHEMICAL_CONVERSION_TECH_NAME" "alchemical conversion"
  "HUMANOID_MUTATION_TECH_NAME" "humanoid mutation"
  "BEAST_MUTATION_TECH_NAME" "beast mutation"
  "CHICKEN_BREEDING_TECH_NAME" "chicken breeding"
  "PIG_BREEDING_TECH_NAME" "pig breeding"
  "COW_BREEDING_TECH_NAME" "cow breeding"
  "IRON_WORKING_TECH_NAME" "iron working"
  "JEWELLERY_TECH_NAME" "jewellery"
  "DISTILLATION_TECH_NAME" "distillation"
  "TWO_HANDED_WEAPONS_TECH_NAME" "two-handed weapons"
  "TRAPS_TECH_NAME" "traps"
  "ADVANCED_TRAPS_TECH_NAME" "advanced traps"
  "ARCHERY_TECH_NAME" "archery"
  "SORCERY_TECH_NAME" "sorcery"
  "ADVANCED_SORCERY_TECH_NAME" "advanced sorcery"
  "MAGICAL_WEAPONS_TECH_NAME" "magical weapons"
  "MASTER_SORCERY_TECH_NAME" "master sorcery"
  "DEMONOLOGY_TECH_NAME" "demonology"
  "WORSHIP_TECH_NAME" "worship"
  "AUTOMATONS_TECH_NAME" "automatons"
  "AUTOMATED_CRAFTING_TECH_NAME" "automated crafting"
  "ADVANCED_AUTOMATONS_TECH_NAME" "advanced automatons"
  "AUTOMATON_BRAINS_TECH_NAME" "automaton brains"
  "AERODYNAMICS_TECH_NAME" "aerodynamics"
  "EXPLOSIVES_TECH_NAME" "explosives"
  "LUXURY_TECH_NAME" "luxury"
  "SMALL_TEMPTATIONS_TECH_NAME" "small temptations"
  "BIG_TEMPTATIONS_TECH_NAME" "big temptations"
  "SLAVERY_TECH_NAME" "slavery"
  "DARK_CRAFTS_TECH_NAME" "dark crafts"
  "ADVANCED_THEOLOGY_TECH_NAME" "advanced theology"
  "EXPERT_THEOLOGY_TECH_NAME" "expert theology"
  "WORSHIP_OF_ADOXIE_TECH_NAME" "worship of Adoxie"
}
